Value Date,Transaction Details,Amount,Closing Balance
08/08/2025,TRANSFER/House rent Aug to MRS KEMI ADEKUNLE,-35000.00,235500.00
08/12/2025,POS/Shoprite Adeniran Ogunsanya,-5400.00,230100.00
08/15/2025,ATM WD/First Bank Mushin,-10000.00,220100.00
08/18/2025,TRANSFER/Children back-to-school supplies,-12000.00,208100.00
08/22/2025,POS/Sweet Sensation Yaba,-2800.00,205300.00
08/25/2025,NIP/Business catering weekend event Aug,15000.00,220300.00
08/31/2025,WEB/Electricity EKEDC prepaid,-5000.00,215300.00
09/05/2025,SALARY/BRIGHT STAR PRIMARY SCHOOL/Monthly pay September 2025,75000.00,290300.00
09/08/2025,TRANSFER/House rent Sep to MRS KEMI ADEKUNLE,-35000.00,255300.00
09/12/2025,POS/Justrite Supermarket Surulere,-6800.00,248500.00
09/15/2025,ATM WD/First Bank Ojuelegba,-10000.00,238500.00
09/18/2025,POS/Market Tejuosho provisions,-7500.00,231000.00
09/22/2025,MOBILE/Airtime Purchase GLO,-1500.00,229500.00
09/28/2025,NIP/Business catering September event,18000.00,247500.00
09/30/2025,WEB/GOtv Subscription renewal,-3800.00,243700.00
10/05/2025,SALARY/BRIGHT STAR PRIMARY SCHOOL/Monthly pay October 2025,75000.00,318700.00
10/08/2025,TRANSFER/House rent Oct to MRS KEMI ADEKUNLE,-35000.00,283700.00
10/12/2025,POS/Shoprite Surulere,-5500.00,278200.00
10/15/2025,ATM WD/First Bank Surulere,-12000.00,266200.00
10/18/2025,NIP/Business catering Independence Day event,28000.00,294200.00
10/22/2025,POS/Chicken Republic Mushin,-3200.00,291000.00
10/25/2025,MOBILE/Airtime Purchase Airtel,-2000.00,289000.00
10/31/2025,POS/Market Balogun provisions,-8500.00,280500.00
11/05/2025,SALARY/BRIGHT STAR PRIMARY SCHOOL/Monthly pay November 2025,75000.00,355500.00
11/08/2025,TRANSFER/House rent Nov to MRS KEMI ADEKUNLE,-35000.00,320500.00
11/12/2025,POS/Justrite Festac,-6200.00,314300.00
11/15/2025,ATM WD/First Bank Ajegunle,-10000.00,304300.00
11/18/2025,TRANSFER/Mother medical bill,-15000.00,289300.00
11/22/2025,NIP/Business catering November events,20000.00,309300.00
11/25/2025,WEB/Electricity EKEDC prepaid,-5000.00,304300.00
11/30/2025,POS/Sweet Sensation Surulere,-2800.00,301500.00
12/05/2025,SALARY/BRIGHT STAR PRIMARY SCHOOL/Monthly pay December 2025,75000.00,376500.00
12/08/2025,TRANSFER/House rent Dec to MRS KEMI ADEKUNLE,-35000.00,341500.00
12/12/2025,POS/Shoprite Festac Christmas shopping,-12000.00,329500.00
12/15/2025,NIP/December business catering Christmas parties,35000.00,364500.00
12/18/2025,ATM WD/First Bank Surulere,-15000.00,349500.00
12/22/2025,POS/Market Balogun Christmas provisions,-10500.00,339000.00
12/25/2025,TRANSFER/Christmas gifts family,-8000.00,331000.00
12/28/2025,MOBILE/Airtime Purchase MTN,-3000.00,328000.00
12/31/2025,WEB/GOtv Subscription year-end,-3800.00,324200.00
