Tran Date,Description,Debit,Credit,Balance
10-Apr-2025,NIP/DANGOTE CEMENT PLC/Business supply April,0.00,550000.00,6319500.00
12-Apr-2025,TRANSFER/Staff wages April 2025,180000.00,0.00,6139500.00
15-Apr-2025,POS/Market shopping Ring Road Ibadan,35000.00,0.00,6104500.00
18-Apr-2025,TRANSFER/Property painting contractor,120000.00,0.00,5984500.00
22-Apr-2025,ATM/WD/Zenith Bank Abeokuta,50000.00,0.00,5934500.00
25-Apr-2025,WEB/Property Insurance Q2,95000.00,0.00,5839500.00
30-Apr-2025,POS/Total Energies Fuel Abeokuta,42000.00,0.00,5797500.00
05-May-2025,NIP/OANDO PLC/Business sales revenue May,0.00,580000.00,6377500.00
08-May-2025,NIP/ADE FASHOLA/Lease office unit 4 renewal,0.00,300000.00,6677500.00
10-May-2025,TRANSFER/Staff wages May 2025,180000.00,0.00,6497500.00
14-May-2025,POS/Shoprite Dugbe Ibadan,19800.00,0.00,6477700.00
18-May-2025,TRANSFER/Generator repair workshop,55000.00,0.00,6422700.00
22-May-2025,ATM/WD/Zenith Bank Bodija,40000.00,0.00,6382700.00
25-May-2025,WEB/LAWMA Waste Q2,12000.00,0.00,6370700.00
31-May-2025,NIP/PENSION FUND ADMIN/RSA quarterly pension H1,0.00,125000.00,6495700.00
05-Jun-2025,NIP/DANGOTE CEMENT PLC/Business supply June,0.00,510000.00,7005700.00
08-Jun-2025,TRANSFER/Staff wages June 2025,180000.00,0.00,6825700.00
12-Jun-2025,POS/Market Bodija provisions,28000.00,0.00,6797700.00
15-Jun-2025,NIP/OLUWASEUN ABIOLA/Rent flat 1A Jul-Sep,0.00,450000.00,7247700.00
18-Jun-2025,NIP/IBRAHIM MUSA/Rent flat 2B Jul-Sep,0.00,375000.00,7622700.00
22-Jun-2025,ATM/WD/Zenith Bank Ibadan,60000.00,0.00,7562700.00
25-Jun-2025,WEB/FIRS Quarterly Tax Remittance Q2,215000.00,0.00,7347700.00
28-Jun-2025,NIP/STANBIC IBTC/Investment dividend H1,0.00,92000.00,7439700.00
30-Jun-2025,TRANSFER/Building roof repairs,145000.00,0.00,7294700.00
05-Jul-2025,NIP/JOHN OBI/Lease shop unit C Jul-Sep,0.00,500000.00,7794700.00
08-Jul-2025,NIP/DANGOTE CEMENT PLC/Business supply July,0.00,490000.00,8284700.00
10-Jul-2025,TRANSFER/Staff wages July 2025,180000.00,0.00,8104700.00
14-Jul-2025,POS/Shoprite Palms Ibadan,24500.00,0.00,8080200.00
18-Jul-2025,TRANSFER/Air conditioning installation,280000.00,0.00,7800200.00
22-Jul-2025,ATM/WD/Zenith Bank Ikeja,50000.00,0.00,7750200.00
25-Jul-2025,WEB/Property Insurance Q3,95000.00,0.00,7655200.00
31-Jul-2025,POS/Total Energies Fuel Ibadan,48000.00,0.00,7607200.00
05-Aug-2025,NIP/OANDO PLC/Business sales revenue August,0.00,640000.00,8247200.00
08-Aug-2025,NIP/ADE FASHOLA/Lease office unit 4 Aug,0.00,300000.00,8547200.00
10-Aug-2025,TRANSFER/Staff wages August 2025,180000.00,0.00,8367200.00
14-Aug-2025,POS/Shoprite Abeokuta,16200.00,0.00,8351000.00
18-Aug-2025,TRANSFER/Plumbing and electrical maintenance,92000.00,0.00,8259000.00
22-Aug-2025,ATM/WD/Zenith Bank Ogba,40000.00,0.00,8219000.00
25-Aug-2025,WEB/LAWMA Waste Q3,12000.00,0.00,8207000.00
31-Aug-2025,NIP/PENSION FUND ADMIN/RSA quarterly pension Q3,0.00,125000.00,8332000.00
05-Sep-2025,NIP/DANGOTE CEMENT PLC/Business supply September,0.00,530000.00,8862000.00
08-Sep-2025,NIP/OLUWASEUN ABIOLA/Rent flat 1A Oct-Dec,0.00,450000.00,9312000.00
10-Sep-2025,NIP/IBRAHIM MUSA/Rent flat 2B Oct-Dec,0.00,375000.00,9687000.00
12-Sep-2025,TRANSFER/Staff wages September 2025,180000.00,0.00,9507000.00
15-Sep-2025,POS/Shoprite Dugbe,21000.00,0.00,9486000.00
18-Sep-2025,ATM/WD/Zenith Bank Abeokuta,60000.00,0.00,9426000.00
22-Sep-2025,WEB/FIRS Quarterly Tax Remittance Q3,215000.00,0.00,9211000.00
28-Sep-2025,NIP/STANBIC IBTC/Investment interest Q3,0.00,78000.00,9289000.00
30-Sep-2025,TRANSFER/Security gate renovation,110000.00,0.00,9179000.00
05-Oct-2025,NIP/JOHN OBI/Lease shop unit C Oct-Dec,0.00,500000.00,9679000.00
08-Oct-2025,NIP/OANDO PLC/Business sales revenue October,0.00,575000.00,10254000.00
10-Oct-2025,TRANSFER/Staff wages October 2025,180000.00,0.00,10074000.00
14-Oct-2025,POS/Market Balogun Lagos,42000.00,0.00,10032000.00
18-Oct-2025,TRANSFER/Property valuation surveyor,65000.00,0.00,9967000.00
22-Oct-2025,ATM/WD/Zenith Bank Ikeja GRA,50000.00,0.00,9917000.00
25-Oct-2025,WEB/Property Insurance Q4,95000.00,0.00,9822000.00
31-Oct-2025,POS/Total Energies Fuel Ibadan,45000.00,0.00,9777000.00
05-Nov-2025,NIP/DANGOTE CEMENT PLC/Business supply November,0.00,560000.00,10337000.00
08-Nov-2025,NIP/ADE FASHOLA/Lease office unit 4 Nov,0.00,300000.00,10637000.00
10-Nov-2025,TRANSFER/Staff wages November 2025,180000.00,0.00,10457000.00
14-Nov-2025,POS/Shoprite Palms Ibadan,18500.00,0.00,10438500.00
18-Nov-2025,TRANSFER/Year-end building maintenance,150000.00,0.00,10288500.00
22-Nov-2025,ATM/WD/Zenith Bank VI,60000.00,0.00,10228500.00
25-Nov-2025,WEB/LAWMA Waste Q4,12000.00,0.00,10216500.00
30-Nov-2025,NIP/PENSION FUND ADMIN/RSA quarterly pension Q4,0.00,125000.00,10341500.00
05-Dec-2025,NIP/OANDO PLC/Business sales revenue December,0.00,600000.00,10941500.00
08-Dec-2025,TRANSFER/Staff wages December 2025,180000.00,0.00,10761500.00
10-Dec-2025,TRANSFER/Staff bonuses December,90000.00,0.00,10671500.00
14-Dec-2025,POS/Shoprite Abeokuta Christmas,35000.00,0.00,10636500.00
18-Dec-2025,NIP/STANBIC IBTC/Investment dividend Q4,0.00,88000.00,10724500.00
22-Dec-2025,ATM/WD/Zenith Bank Bodija,80000.00,0.00,10644500.00
25-Dec-2025,TRANSFER/Christmas family provisions,55000.00,0.00,10589500.00
28-Dec-2025,WEB/FIRS Quarterly Tax Remittance Q4,215000.00,0.00,10374500.00
31-Dec-2025,POS/Total Energies Fuel year-end,40000.00,0.00,10334500.00
